Member	Year	Month	Start	Stop		Reason
005 1602    12	42	45		301
005 1602    12	46	46		306
005 1602    12	50	50		207
005 1602    12	51	51		202
005 1602    12	52	53		305
005 1602    12	54	56		207
005 1602    12	57	57		215
005 1602    12	59	60		215
005 1602    12	61	62		207
005 1602    12	63	63		305
005 1602    12	64	64		215
005 1602    12	65	65		207
005 1602    12	66	67		202
005 1602    12	68	68		207
005 1602    12	69	70		202
005 1602    12	71	71		207
005 1602    12	72	74		202
005 1602    12	75	75		207
005 1602    12	76	95		202
005 1602    12	96	96		215
005 1602    12	97	98		202
005 1602    12	99	100		228
005 1602    12 	101	102		215
005 1602    12 	103	103		228
005 1602    12 	104	104		221
005 1602    12 	105	106		208
005 1602    12 	107	107		215
005 1602    12 	108	108		228
005 1602    12 	109	109		215
005 1602    12 	110	110		228
005 1602    12 	111	112		221
005 1602    12 	113	117		220
005 1602    12 	118	118		228
005 1602    12 	119	119		212
005 1602    12 	120	122		220
005 1602    12 	123	123		207
005 1602    12 	124	124		220
005 1662    08  0   0       6
005 1670    03  0   0       6
005	1973	01	9	124		207
006	1896	04	20	120		207
006	1974	06	116	120		207
006	1977	06	110	120		207
007	1891	07	4	124		208
007	1995	12	98	102		1
008	1949	05	51	53		1
008	1974	12	104	124		207
009	1909	04	88	120		208
010	1976	02	96	112		207
011	1903	06	100	120		207
011	1916	05	78	124		207
012	1692	11	54	120		208
012	1730	06	0	0		6	
012 1730    11  0   0       6
012 1733    08  0   0		6
012 1733    09	0	0		6
012 1734    06	0	0		6
012 1734    07	0	0		6
012 1734    10	0	0		6
012 1734    11	0	0		6
012 1735    01	0	0		6
012 1735    01  0	0		6
012 1735    03	0	0		6
012 1737	08	0	0		6
012 1737    09  0   0       6
012 1738    03  0   0       6
012 1738    04  0   0       6
012 1738    05  0   0       6
012 1738    06  0   0       6
012 1738    07  0   0       6
012 1738    10  0   0       6
012 1738    11  0   0       6
012 1738    12  0   0       6
012 1739    01  0   0       6
012 1739    02  0   0       6
012 1739    03  0   0       6
012 1739    06  0   0       6
012 1739    07  0   0       6
012 1739    11  0   0       6
012 1740    08  0   0       6
012 1740    09  0   0       6
012 1741    08  0   0       6
012 1741    09  0   0       6
012 1742    02  0   0       6
012 1742    03  0   0       6
012 1742    04  0   0       6
012 1742    05  0   0       6
012 1742    06  0   0       6
012 1742    07  0   0       6
012 1742    10  0   0       6
012 1742    11  0   0       6
012 1742    12  0   0       6
012 1743    01	0	0       6
012 1743    02	0	0		6
012 1743    03  0   0       6
012 1743    04  0   0       6
012 1743    05  0   0       6
012 1743    06  0   0       6
012 1743    07  0   0       6
012 1743    10  0   0       6
012 1743    11  0   0       6
012 1743    12  0   0       6
012 1744    08  0   0       6
012 1744    09  0   0       6
012 1745    07  0   0       6
012 1745    08  0   0       6
012 1745    09  0   0       6
012 1745    10  0   0       6
012 1745    11  0   0       6
012	1746	01	0	0		6
012 1746    02  0   0       6
012 1746    03  0   0       6
012 1746    04  0   0       6
012 1746    05  0   0       6
012 1746    06  0   0       6
012 1746    07  0   0       6
012 1746    09  0   0       6
012 1746    10  0   0       6
012 1746    11  0   0       6
012 1746    12  0   0       6
012 1747    01  0   0       6
012 1747    02  0   0       6
012 1747    03  0   0       6
012 1747    04  0   0       6
012 1747    05  0   0       6
012 1747    06  0   0       6
012 1747    07  0   0       6
012 1747    10  0   0       6
012 1747    11  0   0       6
012 1747    12  0   0       6
012 1748    01  0   0       6
012 1748    08  0   0       6
012 1748    09  0   0       6
012 1749    04  0   0       6
012 1749    05  0   0       6
012 1749    06  0   0       6
012 1749    08  0   0       6
012 1749    09  0   0       6
012 1749    10  0   0       6
012 1749    11  0   0       6
012 1749    12  0   0       6
012 1750    01  0   0       6
012 1750    03  0   0       6
012 1750    08  0   0       6
012 1750    09  0   0       6
012 1751    03  0   0       6
012 1751    04  0   0       6
012 1751    05  0   0       6
012 1751    06  0   0       6
012 1751    07  0   0       6
012 1751    08  0   0       6
012 1751    09  0   0       6
012 1751    10  0   0       6
012 1751    11  0   0       6
012 1751    12  0   0       6
012 1751    03  0   0       6
012 1752    00  0   0       6
012 1753    00  0   0       6
012 1754    01  0   0       6
012 1754    02  0   0       6
012 1754    03  0   0       6
012 1754    06  0   0       6
012 1754    07  0   0       6
012 1754    08  0   0       6
012 1754    09  0   0       6
012 1754    10  0   0       6
012 1754    11  0   0       6
012 1755    02  0   0       6
012 1755    03  0   0       6
012 1755    04  0   0       6
012 1755    05  0   0       6
012 1755    05  0   0       6
012 1755    06  0   0       6
012 1755    07  0   0       6
012 1755    08  0   0       6
012 1755    09  0   0       6
012 1755    10  0   0       6
012 1755    11  0   0       6
012 1755    12  0   0       6
012 1756    00  0   0       6
012 1757    00  0   0       6
012 1758    00  0   0       6
012 1759    00  0   0       6
012 1761    00  0   0       6
012 1762    00  0   0       6
012 1763    00  0   0       6
012 1764    00  0   0       6
012 1765    00  0   0       6
012 1766    00  0   0       6
012 1767    00  0   0       6
012 1768    00  0   0       6
012 1769    00  0   0       6
012 1770    00  0   0       6
012 1771    00  0   0       6
012 1772    00  0   0       6
012 1773    00  0   0       6
012 1774    00  0   0       6
012 1775    00  0   0       6
012 1776    00  0   0       6
012 1777    00  0   0       6
012 1778    00  0   0       6
012 1779    00  0   0       6
012 1780    00  0   0       6
012 1781    00  0   0       6
012 1782    00  0   0       6
012 1783    00  0   0       6
012 1784    00  0   0       6
012 1785    00  0   0       6
012 1786    00  0   0       6
012 1787    00  0   0       6
012 1788    00  0   0       6
012 1789    00  0   0       6
012 1790    00  0   0       6
012 1791    00  0   0       6
012 1792    00  0   0       6
012 1793    00  0   0       6
012 1794    00  0   0       6
012 1795    00  0   0       6
012 1796    00  0   0       6
012 1797    00  0   0       6
012 1798    00  0   0       6
012 1799    00  0   0       6
